# CONVERGE 4.0.3/  Aug  6 2024       Run Date:Wed Jun  4 14:16:41 2025
# column        1                2                3                4                5                6                7                8                9
#           Crank     Cycle_Number        PISO_Iter        Pres_Iter       Ustar_Iter      Energy_Iter     Density_Iter  Turbulence_Iter     Species_Iter
#           (DEG)           (none)           (none)           (none)           (none)           (none)           (none)           (none)           (none)
#
   -3.6237962e+02              207                7               42                7               11               11                3               32
   -3.6230111e+02              208                7               43                7               11               11                4               32
   -3.6222418e+02              209                7               44                7               11               11                4               32
   -3.6214639e+02              210                7               43                7               11               11                4               32
   -3.6208615e+02              211                6               33                6                9                9                3               30
   -3.6201931e+02              212                6               33                6                9                9                3               30
   -3.6194592e+02              213                6               38                6                9                9                4               30
   -3.6186664e+02              214                6               39                6                9                9                4               30
   -3.6178638e+02              215                6               38                6                9                9                3               30
   -3.6170648e+02              216                6               38                6                9                9                3               30
   -3.6161464e+02              217                6               41                6                9                9                3               30
   -3.6152084e+02              218                6               43                6                9                9                3               30
   -3.6142480e+02              219                6               46                6                9                9                3               30
   -3.6132830e+02              220                6               45                6                9                9                4               30
   -3.6123128e+02              221                6               46                6                9                9                4               30
   -3.6114811e+02              222                6               42                6                9                9                3               30
   -3.6107092e+02              223                6               41                5                9                9                3               30
   -3.6098972e+02              224                6               42                5                9                9                4               30
   -3.6090220e+02              225                7               46                6               11               11                4               32
   -3.6080932e+02              226                6               43                6                9                9                4               30
   -3.6070975e+02              227                7               53                6               11               11                3               30
   -3.6060073e+02              228                7               55                6               11               11                3               32
   -3.6048344e+02              229                6               52                6                9                9                3               32
   -3.6035872e+02              230                6               55                6                9                9                3               32
   -3.6022948e+02              231                6               56                6                9                9                4               32
   -3.6009507e+02              232                8               77                6               13               13                3               32
   -3.5995481e+02              233                6               61                6                9                9                4               32
   -3.5980760e+02              234                6               61                6                9                9                4               32
   -3.5965219e+02              235                7               73                6               11               11                4               32
   -3.5948672e+02              236                6               70                6                9                9                4               32
   -3.5932092e+02              237                8               89                6               13               13                4               32
   -3.5915493e+02              238                6               68                6                9                9                3               32
   -3.5898874e+02              239                6               68                6                9                9                3               32
   -3.5882231e+02              240                6               68                6                9                9                3               32
   -3.5865561e+02              241                6               66                6                9                9                3               32
   -3.5848859e+02              242                7               77                6               11               11                3               34
   -3.5832119e+02              243                7               76                6               11               11                3               32
   -3.5815331e+02              244                7               76                6               11               11                3               32
   -3.5798477e+02              245                7               77                6               11               11                4               32
   -3.5781533e+02              246                7               77                6               11               11                4               32
   -3.5764485e+02              247                7               77                6               11               11                3               32
   -3.5747396e+02              248                7               78                6               11               11                3               32
   -3.5730261e+02              249                7               78                7               11               11                3               32
   -3.5713131e+02              250                7               76                7               11               11                3               32
   -3.5696023e+02              251                7               72                7               11               11                4               32
   -3.5678945e+02              252                8               83                7               13               13                4               32
   -3.5661903e+02              253                7               77                8               11               11                4               32
   -3.5646124e+02              254                8               79                7               13               13                4               32
   -3.5631491e+02              255                7               64                7               11               11                3               32
   -3.5617709e+02              256                7               63                7               11               11                3               34
   -3.5616331e+02              257                5               15                3                7                7                3               18
   -3.5614608e+02              258                5               15                4                7                7                2               20
   -3.5612455e+02              259                5               15                4                7                7                2               20
   -3.5609763e+02              260                6               19                4                9                9                3               20
   -3.5606399e+02              261                6               23                4                9                9                3               24
   -3.5602193e+02              262                6               24                4                9                9                3               24
   -3.5596936e+02              263                6               24                4                9                9                3               24
   -3.5590364e+02              264                6               31                5                9                9                3               26
   -3.5583200e+02              265                6               33                5                9                9                3               30
   -3.5576003e+02              266                6               33                5                9                9                4               28
   -3.5568775e+02              267                6               35                5                9                9                3               32
   -3.5561518e+02              268                6               35                5                9                9                3               32
   -3.5554231e+02              269                6               35                5                9                9                3               30
   -3.5546915e+02              270                6               35                5                9                9                3               30
   -3.5539573e+02              271                6               35                5                9                9                3               32
   -3.5532204e+02              272                6               34                5                9                9                3               32
   -3.5524811e+02              273                6               36                5                9                9                4               30
   -3.5517393e+02              274                7               41                5               11               11                3               30
   -3.5509952e+02              275                7               40                5               11               11                4               32
   -3.5502489e+02              276                6               36                5                9                9                4               32
   -3.5495079e+02              277                6               34                5                9                9                4               32
   -3.5486834e+02              278                7               42                6               11               11                3               32
   -3.5479483e+02              279                6               36                6                9                9                3               32
   -3.5470617e+02              280                6               40                6                9                9                4               32
   -3.5463283e+02              281                6               35                6                9                9                4               32
   -3.5454415e+02              282                6               40                6                9                9                4               32
   -3.5447048e+02              283                6               36                6                9                9                4               32
   -3.5439601e+02              284                6               36                6                9                9                4               32
   -3.5432128e+02              285                7               42                6               11               11                4               34
   -3.5422787e+02              286                7               47                7               11               11                4               32
   -3.5415306e+02              287                7               41                6               11               11                4               32
   -3.5405956e+02              288                7               49                7               11               11                4               32
   -3.5398446e+02              289                7               42                6               11               11                4               32
   -3.5389060e+02              290                7               50                7               11               11                4               32
   -3.5378172e+02              291                7               55                8               11               11                4               34
   -3.5367274e+02              292                7               54                8               11               11                5               32
   -3.5356367e+02              293                7               54                8               11               11                4               32
